label,"Total de población"
2019,14566547
2018,14318545
2017,14072615
2016,13448494
2015,13707118
2014,13617553
2013,13510781
2012,13390632
2011,12851821
2010,13135778
2009,12998345
2008,12883583
2007,12764806
2006,12661878
2005,12528663
2004,12391421
2003,12245039
2002,12094174
2001,11897534
2000,11683290
1999,11504759
1998,11365901
1997,11227651
1996,11082903
1995,10950119
1994,10819146
1993,10690038
1992,10572205
1991,10431316
1990,10295832
1989,10103305
1988,9838620
1987,9637945
1986,9437359
1985,9294657
1984,9167484
1983,9039564
1982,8920288
1981,8812286
1980,8746013
1979,8662088
1978,8590144
1977,8504080
1976,8413779
1975,8319795
1974,8204275
1973,8075547
1972,7963117
1971,7849027
